anime_id,genres
451,Action
11013,Comedy
2963,Comedy
37475,Action
658,Suspense
10588,Action
16934,Comedy
11433,Drama
6773,Action
5460,Action
34100,Action
8841,Action
47257,Comedy
11739,Comedy
40215,Comedy
4672,Action
18507,Sports
10067,Supernatural
11113,Slice of Life
535,Adventure
32979,Adventure
7193,Drama
80,Sci-Fi
6864,Mystery
905,Action
1686,Action
26,Action
240,Comedy
6637,Mystery
182,Adventure
38472,Comedy
145,Comedy
47790,Action
36704,Sports
33337,Drama
41461,Comedy
28,Comedy
3731,Comedy
1363,Adventure
35079,Action
34984,Drama
21469,Comedy
37932,Action
37972,Drama
42625,Adventure
31,Drama
338,Drama
2026,Action
1699,Drama
177,Action
48553,Slice of Life
1257,Adventure
2159,Comedy
31376,Comedy
33028,Action
38594,Drama
51096,Drama
19123,Action
10460,Comedy
10589,Action
32673,Fantasy
39555,Action
24151,Romance
42250,Comedy
4918,Comedy
464,Action
779,Adventure
28979,Comedy
9760,Adventure
2889,Action
14345,Action
30347,Action
12883,Comedy
6467,Action
34544,Action
10937,Action
6377,Comedy
23777,Action
4192,Action
2397,Adventure
38409,Action
30415,Drama
19703,Action
30778,Action
13655,Comedy
23251,Comedy
38816,Drama
20541,Comedy
3712,Action
9471,Comedy
1023,Adventure
25649,Boys Love
856,Action
962,Fantasy
45055,Comedy
23385,Fantasy
2961,Action
40908,Action
4182,Comedy
1367,Adventure
8246,Action
4177,Action
38793,Action
5204,Action
450,Action
33323,Comedy
10568,Mystery
32491,Romance
617,Adventure
40904,Drama
16417,Slice of Life
20431,Comedy
8063,Boys Love
67,Action
780,Adventure
479,Action
15771,Comedy
77,Action
356,Action
40060,Action
9790,Comedy
1088,Action
35382,Sports
2508,Comedy
31149,Action
31553,Drama
23225,Comedy
885,Avant Garde
1506,Adventure
11933,Comedy
41168,Comedy
40269,Action
2951,Action
427,Comedy
39071,Comedy
42940,Action
793,Comedy
14967,Comedy
35806,Sports
21273,Comedy
29755,Sports
32681,Action
1292,Action
6586,Gourmet
957,Adventure
37614,Comedy
34618,Comedy
12069,Sports
371,Comedy
65,Action
38483,Comedy
35111,Sports
34933,Drama
34440,Action
34438,Action
35110,Sports
9982,Comedy
14837,Action
23775,Action
433,Drama
34103,Action
13851,Comedy
85,Drama
1239,Drama
40902,Ecchi
11499,Comedy
36538,Drama
477,Fantasy
30364,Sports
16762,Supernatural
44200,Action
9465,Action
40938,Drama
28497,Action
36220,Comedy
39175,Romance
14175,Drama
31821,Action
969,Action
10083,Horror
74,Comedy
38619,Comedy
1690,Drama
38753,Comedy
36214,Girls Love
40004,Comedy
11553,Comedy
36653,Sports
40056,Action
9252,Action
41694,Action
42670,Action
40936,Comedy
10278,Comedy
37348,Action
82,Drama
49930,Action
38759,Slice of Life
34480,Ecchi
32900,Action
123,Adventure
35849,Action
28623,Action
11633,Action
986,Adventure
1486,Comedy
32105,Action
132,Action
49053,Boys Love
34076,Comedy
9724,Action
2273,Action
5507,Action
5177,Mystery
39988,Comedy
1462,Drama
1195,Action
50346,Romance
8426,Drama
5420,Drama
38992,Comedy
20371,Boys Love
39651,Action
32977,Comedy
9963,Adventure
2402,Action
38186,Comedy
3652,Mystery
29786,Comedy
26123,Comedy
19319,Action
49052,Sports
34973,Slice of Life
32648,Comedy
11917,Comedy
14407,Action
6922,Action
1606,Action
2923,Comedy
8514,Action
26349,Comedy
47159,Comedy
64,Action
50325,Comedy
452,Action
40858,Action
5958,Comedy
6772,Action
16592,Horror
30736,Action
6444,Adventure
12049,Action
30187,Drama
1015,Comedy
39491,Action
2921,Action
44807,Drama
250,Adventure
40392,Drama
33354,Adventure
36275,Drama
40434,Action
34534,Drama
11813,Action
11757,Action
11759,Action
8557,Comedy
2471,Adventure
48643,Comedy
10020,Comedy
31483,Drama
15197,Action
32005,Action
42590,Drama
37007,Sports
251,Adventure
68,Adventure
30016,Action
37347,Action
6793,Comedy
9181,Comedy
31706,Action
4872,Comedy
8676,Romance
21419,Action
6802,Sci-Fi
34281,Action
49520,Comedy
34012,Fantasy
9366,Comedy
21473,Action
462,Action
13469,Mystery
42984,Fantasy
34443,Action
31973,Action
1719,Action
31711,Comedy
33263,Drama
38656,Action
531,Drama
10110,Comedy
517,Comedy
3972,Action
34414,Action
8310,Adventure
1172,Adventure
11235,Romance
44070,Drama
3713,Mystery
4163,Comedy
1366,Adventure
9735,Action
2472,Action
35376,Comedy
160,Adventure
16005,Action
40080,Action
35413,Comedy
30458,Action
4981,Action
32526,Slice of Life
32551,Action
6774,Drama
48707,Comedy
40839,Comedy
13403,Comedy
1117,Adventure
36754,Drama
31433,Drama
37442,Action
449,Action
875,Adventure
17641,Comedy
33094,Comedy
995,Sports
29067,Comedy
31783,Sports
32948,Drama
27601,Comedy
36903,Action
34262,Comedy
34855,Comedy
24655,Romance
7720,Comedy
14833,Adventure
24227,Comedy
32485,Comedy
12729,Comedy
8479,Comedy
1029,Drama
25731,Action
37086,Drama
6325,Action
50461,Fantasy
287,Action
134,Action
11743,Action
10092,Action
1505,Adventure
516,Comedy
4382,Comedy
10033,Action
31389,Action
101,Drama
30902,Comedy
2559,Adventure
1253,Action
41084,Adventure
21899,Action
32189,Action
40497,Action
39026,Comedy
5277,Action
41094,Adventure
8888,Action
166,Sci-Fi
16528,Drama
10719,Comedy
19163,Comedy
9065,Action
37597,Boys Love
32215,Action
2002,Action
14527,Action
4437,Action
39355,Action
25687,Action
7588,Drama
6880,Action
38787,Comedy
7627,Comedy
1089,Action
21667,Slice of Life
15487,Comedy
48702,Drama
12815,Comedy
27631,Action
1453,Comedy
1002,Action
35241,Fantasy
1470,Action
41169,Slice of Life
488,Comedy
15583,Comedy
5060,Comedy
4447,Adventure
19291,Action
9890,Comedy
22673,Comedy
37621,Comedy
91,Action
35198,Slice of Life
15437,Action
10209,Action
9136,Comedy
19671,Comedy
379,Comedy
28405,Action
5118,Comedy
37426,Action
25313,Action
27947,Action
23421,Comedy
20853,Action
21743,Action
8311,Adventure
208,Action
522,Adventure
35823,Comedy
587,Comedy
32547,Slice of Life
40416,Action
102,Comedy
4053,Sports
35828,Comedy
31380,Comedy
33091,Drama
3014,Action
46093,Drama
6895,Action
20689,Comedy
31931,Action
901,Action
11135,Boys Love
10378,Comedy
34504,Comedy
31733,Romance
4186,Action
39586,Comedy
24543,Action
32949,Drama
28285,Action
38337,Comedy
1914,Adventure
2752,Sports
30911,Action
2129,Drama
997,Adventure
14189,Horror
50709,Action
16009,Adventure
49310,Drama
32668,Action
10389,Drama
96,Adventure
19369,Comedy
1412,Action
3016,Action
30191,Action
48804,Fantasy
11701,Horror
1813,Comedy
41710,Action
3603,Action
29575,Hentai
35821,Comedy
13357,Comedy
5162,Comedy
13767,Boys Love
27957,Comedy
5835,Drama
98,Action
1691,Action
18893,Action
32071,Action
880,Comedy
9201,Action
1379,Adventure
5909,Comedy
10396,Action
8038,Comedy
50,Comedy
12679,Comedy
12467,Romance
906,Action
5262,Comedy
18619,Sports
3841,Comedy
33654,Boys Love
35857,Action
32696,Comedy
8476,Romance
32951,Action
35338,Comedy
18055,Action
19511,Comedy
20517,Comedy
35330,Comedy
35678,Drama
34662,Action
28771,Adventure
43691,Drama
32108,Action
6707,Action
32122,Action
1313,Action
15225,Comedy
567,Action
31414,Comedy
34136,Drama
35262,Action
2158,Action
49893,Fantasy
11179,Comedy
1579,Comedy
32827,Action
7661,Drama
35756,Comedy
13203,Action
38088,Action
7858,Comedy
35889,Action
36043,Comedy
9000,Adventure
302,Adventure
2449,Action
16353,Comedy
1536,Action
15775,Comedy
9510,Comedy
2563,Fantasy
13599,Drama
41497,Action
37924,Comedy
19221,Comedy
25,Action
551,Action
38959,Fantasy
34086,Action
23269,Comedy
34036,Adventure
35639,Drama
5074,Action
24913,Romance
5355,Action
43756,Sports
42941,Sports
1222,Drama
36633,Comedy
10643,Action
21105,Boys Love
87,Drama
36215,Action
32863,Action
33338,Action
12117,Adventure
5667,Comedy
13271,Action
584,Adventure
38699,Action
24627,Comedy
43692,Comedy
42423,Sci-Fi
37993,Comedy
12487,Action
27,Action
28825,Comedy
2594,Adventure
42192,Adventure
14811,Comedy
9135,Action
35075,Comedy
35015,Comedy
42091,Action
48779,Slice of Life
49738,Drama
20787,Action
13709,Action
1050,Adventure
14511,Comedy
10798,Mystery
2985,Comedy
2596,Mystery
666,Adventure
34439,Action
39576,Action
25519,Drama
37403,Sports
8074,Action
1915,Action
32365,Action
550,Action
30300,Comedy
48375,Sci-Fi
15379,Comedy
42340,Comedy
1526,Action
34279,Action
41619,Supernatural
33089,Adventure
18497,Action
3001,Comedy
19951,Action
6634,Action
10216,Comedy
31163,Action
11371,Sports
37407,Fantasy
31327,Ecchi
35459,Action
5671,Slice of Life
39705,Action
20709,Action
10163,Action
23311,Action
4970,Action
28479,Action
474,Drama
39569,Drama
18229,Adventure
16239,Action
