anime_id,type,episodes,source,rating,start_year,start_season,demographics
40911,tv,11,Non-Original,r,2020,fall,Shounen
35073,tv,13,Non-Original,r,2018,winter,None
4565,movie,1,original,r+,2009,spring,None
5040,tv,25,Non-Original,pg_13,2008,fall,Seinen
36563,tv,13,original,r,2018,spring,None
27989,tv,13,Non-Original,pg_13,2015,spring,None
31173,tv,12,Non-Original,pg_13,2016,winter,Shoujo
9513,tv,60,Non-Original,pg_13,2011,winter,Shounen
790,tv,23,original,r,2006,winter,None
4155,movie,1,Non-Original,pg_13,2009,fall,Shounen
28735,tv,13,Non-Original,pg_13,2016,winter,Josei
1559,tv,50,Non-Original,pg_13,2006,fall,Shounen
23755,tv,24,Non-Original,pg_13,2014,fall,Shounen
4059,special,1,Non-Original,pg_13,2008,summer,None
36999,movie,6,Non-Original,r,2018,fall,None
10080,tv,12,Non-Original,pg_13,2011,spring,Shounen
35843,tv,13,Non-Original,pg_13,2017,fall,Shounen
37491,tv,14,Non-Original,pg_13,2018,summer,Shounen
17895,tv,24,Non-Original,pg_13,2013,fall,None
31988,tv,13,Non-Original,pg_13,2016,fall,None
14741,tv,12,Non-Original,pg_13,2012,fall,None
28675,movie,1,Non-Original,pg_13,2015,spring,None
18153,tv,12,Non-Original,pg_13,2013,fall,None
32998,tv,12,original,r,2016,summer,None
4901,ova,5,Non-Original,r+,2010,spring,Seinen
11887,tv,13,Non-Original,pg_13,2012,summer,None
50631,tv,12,Non-Original,pg_13,2022,spring,Shounen
18397,ova,3,Non-Original,r,2013,fall,Shounen
21557,movie,1,Non-Original,g,2014,summer,None
4722,tv,25,Non-Original,pg_13,2008,fall,Shoujo
16870,movie,1,Non-Original,pg_13,2014,fall,Shounen
11979,movie,1,original,pg_13,2012,fall,None
7472,movie,1,Non-Original,r,2010,spring,Shounen
33489,tv,25,original,g,2017,winter,None
35608,movie,1,Non-Original,pg_13,2018,winter,None
39792,tv,12,Non-Original,pg_13,2020,winter,Seinen
39198,tv,12,Non-Original,pg_13,2019,summer,Shounen
39534,tv,12,Non-Original,pg_13,2020,winter,Shounen
40956,tv,24,Non-Original,pg_13,2020,summer,Shounen
38249,special,1,Non-Original,pg_13,2018,fall,Shounen
31741,tv,13,Non-Original,pg_13,2016,spring,Shounen
35838,tv,12,Non-Original,pg_13,2017,fall,None
32380,ova,1,Non-Original,pg_13,2016,spring,None
16001,special,4,Non-Original,pg_13,2012,fall,None
38671,tv,24,Non-Original,pg_13,2019,summer,Shounen
7711,movie,1,Non-Original,g,2010,summer,None
