anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,demographics,studios
1040,Mizuiro Jidai,tv,High,1056,finished_airing,47,Non-Original,4267,17,pg_13,True,1996,spring,Drama,Shoujo,Studio Comet
10590,Reunion,ova,Average,3788,finished_airing,2,Non-Original,10158,22,rx,False,2011,spring,Hentai,None,PoRO
3679,Renketsu Houshiki,ova,Average,3131,finished_airing,3,Non-Original,9000,27,rx,False,2008,winter,Hentai,None,Suzuki Mirano
17491,Garden,ova,Average,4719,finished_airing,2,Non-Original,10111,49,rx,False,2013,spring,Hentai,None,Office Takeout
40849,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,special,Average,9646,finished_airing,1,Non-Original,22404,22,pg_13,True,2019,fall,Action,None,White Fox
3305,Muteki Koujin Daitarn 3,tv,High,1091,finished_airing,40,original,3294,10,pg,True,1978,summer,Sci-Fi,None,Sunrise
17679,Gambo,movie,Average,3742,finished_airing,1,original,8239,1,r,True,2013,summer,Action,None,Sunrise
1207,Wata no Kuni Hoshi,movie,Average,1795,finished_airing,1,Non-Original,5262,24,g,True,1984,winter,Drama,Shoujo,Mushi Production
36692,Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,special,Average,1522,finished_airing,4,original,4483,3,pg_13,True,2017,fall,Comedy,None,Satelight
40075,Koi to Producer: EVOL×LOVE,tv,Average,15796,finished_airing,12,Non-Original,51760,253,pg_13,True,2020,summer,Mystery,None,MAPPA
347,Wild Arms: Twilight Venom,tv,Average,2909,finished_airing,22,Non-Original,7487,14,pg_13,True,1999,fall,Action,None,Bee Train
13863,Arve Rezzle: Kikaijikake no Yousei-tachi,movie,Average,11399,finished_airing,1,Non-Original,25500,15,r,True,2013,winter,Action,None,Zexcs
37988,Uchuu Senkan Tiramisù II,tv,Average,3987,finished_airing,13,Non-Original,9056,4,pg_13,True,2018,fall,Comedy,None,Gonzo
32301,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,tv,Average,7636,finished_airing,12,original,19688,11,pg_13,True,2016,summer,Comedy,None,Production IMS
5651,Helter Skelter: Hakudaku no Mura,ova,Average,2997,finished_airing,4,Non-Original,8097,56,rx,False,2009,winter,Hentai,None,Suzuki Mirano
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,tv,Average,1977,finished_airing,12,Non-Original,5614,13,pg_13,True,2003,summer,Action,Shounen,ufotable
36037,Senran Kagura Shinovi Master: Tokyo Youma-hen,tv,Average,9111,finished_airing,12,Non-Original,38640,83,r+,True,2018,fall,Action,None,TNK
3081,Attacker You!,tv,Average,2888,finished_airing,58,Non-Original,6524,21,r+,True,1984,spring,Action,Shoujo,Knack Productions
9598,Haiyoru! Nyaruani: Remember My Love(craft-sensei),tv,Average,11292,finished_airing,11,Non-Original,27500,8,pg_13,True,2011,winter,Comedy,None,DLE
