,anime_id,studios
302,11665,"[""Brain's Base""]"
303,27821,['ufotable']
304,16049,['J.C.Staff']
305,32188,['White Fox']
306,24701,['Artland']
307,27833,['Shuka']
308,16662,['Studio Ghibli']
309,1698,['J.C.Staff']
310,14075,['Bones']
311,237,['Bones']
312,249,['Sunrise']
313,28999,['P.A. Works']
314,34636,['Production I.G']
315,268,['APPP']
316,16706,['Manglobe']
317,6811,['Sunrise']
318,35120,['Science SARU']
319,801,['Production I.G']
320,36838,['Bandai Namco Pictures']
321,21855,['Shaft']
322,5205,['ufotable']
323,72,['Kyoto Animation']
324,37055,['Nut']
325,38993,['Shin-Ei Animation']
326,27831,['Shuka']
327,31339,['Hoods Drifters Studio']
328,12115,['Studio 4°C']
329,31658,['Production I.G']
330,40911,['Production I.G']
331,35073,['Madhouse']
332,4565,['Gainax']
333,5040,['Madhouse']
334,36563,['TMS Entertainment']
335,27989,['Kyoto Animation']
336,31173,['Bones']
337,9513,['Pierrot Plus']
338,790,['Manglobe']
339,4155,['Toei Animation']
340,28735,['Studio Deen']
341,1559,['TMS Entertainment']
342,23755,['A-1 Pictures']
343,4059,['Kyoto Animation']
344,36999,['Shaft']
345,10080,['Manglobe']
346,35843,['Bandai Namco Pictures']
347,37491,['Bandai Namco Pictures']
348,17895,['J.C.Staff']
349,31988,['Kyoto Animation']
350,14741,['Kyoto Animation']
351,28675,['Kyoto Animation']
352,18153,['Kyoto Animation']
353,32998,['Shuka']
354,4901,['Madhouse']
355,11887,['SILVER LINK.']
356,50631,['OLM']
357,18397,['Wit Studio']
358,21557,['Studio Ghibli']
359,4722,['Hal Film Maker']
360,16870,['Pierrot']
361,11979,['Shaft']
362,7472,['Sunrise']
363,33489,['Trigger']
364,35608,['Kyoto Animation']
365,39792,['Science SARU']
366,39198,['Lerche']
367,39534,['Lerche']
368,40956,['David Production']
369,38249,"['J.C.Staff', 'Egg Firm']"
370,31741,['Lay-duce']
371,35838,['White Fox']
372,32380,['Studio Deen']
373,16001,['SILVER LINK.']
