,anime_id,type,score,scored_by,episodes,source,rating,sfw,start_season
8044,39767,ona,6,201,20.0,Non-Original,pg_13,True,fall
8045,42414,ona,5,1650,12.0,Non-Original,rx,False,fall
8046,36156,ona,5,1427,1.0,original,g,True,fall
8047,37308,movie,5,1772,6.0,original,pg_13,True,summer
8048,34766,ona,6,857,1.0,Non-Original,pg_13,True,fall
8049,41558,tv,6,975,13.0,original,pg,True,spring
8050,991,ova,5,2511,3.0,Non-Original,r+,True,fall
8051,34614,special,5,1257,2.0,Non-Original,pg_13,True,winter
8052,6028,movie,6,483,1.0,Non-Original,pg_13,True,fall
8053,25943,special,5,2003,2.0,Non-Original,pg_13,True,summer
8054,49380,ona,6,191,12.0,Non-Original,g,True,fall
8055,1385,ova,5,1600,2.0,Non-Original,rx,False,spring
8056,16936,ona,5,2065,1.0,original,pg_13,True,fall
8057,40922,ova,5,1820,2.0,Non-Original,rx,False,winter
8058,50653,movie,6,426,1.0,original,pg_13,True,spring
8059,10552,ova,5,1878,1.0,Non-Original,rx,False,spring
8060,545,tv,6,1052,12.0,original,pg_13,True,spring
8061,2179,ova,6,891,2.0,Non-Original,pg_13,True,spring
8062,2428,ova,6,608,1.0,Non-Original,g,True,spring
8063,6899,tv,6,744,29.0,Non-Original,g,True,fall
8064,17727,tv,5,1296,13.0,original,g,True,spring
8065,1751,ova,5,3860,1.0,Non-Original,pg_13,True,summer
8066,3735,ova,6,331,6.0,original,pg_13,True,summer
8067,38677,ona,6,615,12.0,Non-Original,pg_13,True,fall
8068,35805,special,6,516,2.0,Non-Original,pg_13,True,spring
8069,13047,ova,6,311,1.0,Non-Original,g,True,spring
8070,1390,ova,5,1230,2.0,Non-Original,rx,False,spring
8071,1284,ova,6,768,3.0,Non-Original,pg_13,True,fall
8072,12907,ona,5,1784,3.0,Non-Original,pg_13,True,winter
8073,1899,tv,6,901,26.0,original,pg_13,True,spring
8074,42071,tv,5,1194,12.0,Non-Original,pg_13,True,spring
8075,48942,ona,6,264,62.0,Non-Original,pg_13,True,spring
8076,9095,special,6,347,1.0,Non-Original,g,True,fall
8077,37290,special,6,271,14.0,original,g,True,fall
8078,34738,tv,5,1375,13.0,original,pg_13,True,winter
8079,31018,tv,5,1158,12.0,Non-Original,pg_13,True,fall
8080,38915,ova,4,6768,1.0,Non-Original,r+,True,spring
8081,39231,ona,6,412,12.0,Non-Original,pg_13,True,fall
8082,3429,special,5,3497,1.0,Non-Original,pg_13,True,fall
8083,7230,ona,6,815,1.0,original,pg_13,True,spring
8084,42044,ona,6,721,4.0,Non-Original,pg_13,True,spring
8085,31750,ova,6,952,2.0,Non-Original,pg,True,summer
8086,32502,special,6,861,6.0,Non-Original,pg_13,True,fall
8087,33564,ova,5,2151,1.0,Non-Original,pg_13,True,winter
8088,36529,special,6,313,1.0,Non-Original,pg_13,True,spring
8089,3442,ova,6,806,2.0,Non-Original,rx,False,summer
8090,2185,ova,5,1619,2.0,Non-Original,rx,False,summer
8091,10938,ova,5,1220,1.0,Non-Original,rx,False,summer
8092,49353,ova,5,1135,4.0,Non-Original,rx,False,summer
8093,4011,ova,5,1109,2.0,Non-Original,rx,False,fall
8094,2732,tv,6,240,53.0,original,g,True,spring
8095,2074,tv,6,310,30.0,Non-Original,pg_13,True,spring
8096,20329,tv,5,2602,10.0,Non-Original,pg_13,True,fall
8097,39116,movie,6,211,1.0,Non-Original,r,True,summer
8098,6975,special,6,308,1.0,original,g,True,fall
8099,6607,special,5,2086,1.0,original,g,True,spring
8100,4853,tv,6,906,8.0,Non-Original,r+,True,spring
8101,44389,ona,6,160,42.0,Non-Original,pg_13,True,fall
8102,13375,special,5,2235,1.0,original,g,True,summer
8103,39622,tv,5,2604,50.0,original,pg,True,spring
8104,51781,ona,6,305,2.0,Non-Original,pg_13,True,spring
8105,9846,ona,6,948,1.0,original,g,True,fall
8106,40194,ona,6,601,1.0,original,pg_13,True,summer
8107,5908,tv,6,540,56.0,Non-Original,g,True,winter
8108,41586,special,6,787,1.0,original,pg_13,True,spring
8109,30537,special,6,599,1.0,original,pg_13,True,summer
8110,4213,ova,6,982,1.0,Non-Original,pg_13,True,winter
8111,5723,special,6,825,10.0,original,pg_13,True,fall
8112,34939,ona,6,1003,2.0,Non-Original,g,True,winter
8113,3833,ova,6,910,2.0,original,rx,False,spring
8114,51222,ona,6,484,1.0,Non-Original,pg_13,True,spring
8115,1959,ova,6,607,2.0,Non-Original,r,True,fall
8116,4013,tv,6,300,50.0,original,g,True,fall
8117,32751,movie,6,325,1.0,original,pg,True,winter
8118,2545,tv,6,631,26.0,Non-Original,g,True,winter
8119,9327,ova,5,1062,2.0,Non-Original,rx,False,summer
8120,2412,ova,5,1740,2.0,Non-Original,rx,False,fall
8121,2169,ova,5,3455,3.0,original,r,True,spring
8122,2693,ova,5,1080,3.0,Non-Original,pg_13,True,fall
8123,39332,special,6,481,2.0,Non-Original,r+,True,fall
8124,2552,tv,6,542,13.0,Non-Original,pg_13,True,summer
8125,32572,tv,6,469,32.0,Non-Original,g,True,spring
8126,9858,movie,6,342,1.0,Non-Original,g,True,summer
8127,42947,ona,6,417,12.0,Non-Original,pg_13,True,fall
8128,45658,ona,5,1324,14.0,Non-Original,pg_13,True,winter
8129,41222,ona,6,209,1.0,original,pg,True,winter
8130,5618,tv,6,330,103.0,Non-Original,g,True,fall
8131,3532,ova,5,1034,1.0,Non-Original,rx,False,fall
8132,42914,movie,6,261,1.0,Non-Original,pg,True,summer
8133,35202,special,5,2132,1.0,original,pg_13,True,summer
8134,1188,tv,6,805,24.0,Non-Original,pg_13,True,summer
8135,34332,tv,5,1318,12.0,original,pg_13,True,winter
8136,30499,special,5,1291,12.0,original,pg_13,True,winter
8137,619,ova,5,1968,1.0,Non-Original,r,True,fall
8138,2723,tv,6,824,24.0,Non-Original,pg_13,True,spring
8139,3075,tv,6,509,52.0,original,g,True,spring
8140,31534,tv,5,1084,104.0,original,g,True,spring
8141,4264,tv,5,1362,12.0,Non-Original,r,True,summer
8142,31137,special,6,798,1.0,Non-Original,pg_13,True,spring
8143,2189,ova,6,723,6.0,original,rx,False,winter
8144,28439,special,5,1832,1.0,original,g,True,fall
8145,37938,ona,6,190,20.0,original,r,True,summer
8146,5918,ova,5,1926,1.0,Non-Original,r,True,summer
8147,34941,ova,6,995,2.0,Non-Original,r+,True,summer
8148,13643,ova,5,1253,1.0,original,rx,False,summer
8149,3391,tv,6,588,95.0,Non-Original,r+,True,fall
8150,42591,ova,5,2129,4.0,Non-Original,rx,False,fall
8151,48480,ona,6,157,208.0,Non-Original,pg_13,True,winter
8152,3560,ova,5,1416,1.0,Non-Original,rx,False,summer
8153,3619,tv,6,416,39.0,Non-Original,g,True,spring
8154,2328,ova,6,966,3.0,Non-Original,rx,False,summer
8155,38444,ona,6,790,1.0,Non-Original,pg_13,True,winter
8156,49215,ona,6,871,18.0,Non-Original,pg_13,True,spring
8157,11815,ova,5,1369,2.0,Non-Original,rx,False,fall
8158,11471,special,5,1622,1.0,Non-Original,pg_13,True,winter
8159,3911,ova,5,1118,2.0,original,rx,False,spring
8160,33026,tv,5,1239,24.0,original,pg_13,True,fall
8161,13927,special,6,696,2.0,original,pg_13,True,spring
8162,39823,ona,6,229,30.0,original,pg_13,True,spring
8163,10528,tv,6,657,50.0,original,pg_13,True,spring
8164,510,tv,5,1381,13.0,Non-Original,r+,True,fall
8165,10346,tv,6,328,6.0,Non-Original,pg_13,True,spring
8166,41317,ona,6,358,1.0,Non-Original,pg_13,True,fall
8167,964,tv,5,2337,8.0,original,r+,True,spring
8168,38179,special,6,435,27.0,Non-Original,r,True,summer
8169,48680,tv,4,5414,13.0,Non-Original,pg_13,True,fall
8170,1286,ova,5,4368,1.0,original,r+,True,winter
8171,29756,movie,6,518,1.0,original,g,True,summer
8172,37619,ona,6,723,24.0,Non-Original,pg_13,True,fall
8173,3022,tv,6,301,45.0,Non-Original,pg_13,True,spring
8174,33839,ova,5,3586,1.0,Non-Original,pg_13,True,winter
8175,10101,ova,5,1537,2.0,Non-Original,rx,False,winter
8176,39527,tv,4,5237,12.0,Non-Original,pg_13,True,summer
8177,8783,movie,6,346,1.0,Non-Original,g,True,spring
8178,2256,ova,6,527,1.0,original,pg_13,True,spring
8179,2946,ova,5,2109,2.0,Non-Original,rx,False,winter
8180,32816,special,5,1557,2.0,Non-Original,pg_13,True,winter
8181,15961,ova,6,373,4.0,Non-Original,pg_13,True,winter
8182,2304,ova,5,1063,2.0,original,pg_13,True,summer
8183,31827,ona,5,1062,12.0,original,g,True,winter
8184,11679,ona,5,4306,1.0,original,r,True,fall
8185,5997,tv,6,276,52.0,Non-Original,r,True,fall
8186,600,tv,4,4642,12.0,original,r,True,fall
8187,2023,ova,5,1013,4.0,original,r,True,spring
8188,2435,ova,5,1122,2.0,Non-Original,rx,False,winter
8189,38199,tv,5,2370,12.0,original,pg_13,True,winter
8190,39416,ona,6,557,7.0,original,g,True,summer
8191,38621,ova,5,1119,1.0,Non-Original,rx,False,fall
8192,1452,ova,5,1065,1.0,Non-Original,pg_13,True,fall
8193,33170,special,5,1738,1.0,original,g,True,winter
8194,37328,tv,6,144,26.0,original,g,True,summer
8195,30921,movie,6,364,1.0,original,pg_13,True,winter
8196,31633,tv,4,5210,13.0,original,pg_13,True,winter
8197,2863,ova,5,1484,3.0,Non-Original,rx,False,spring
8198,37340,ova,5,981,4.0,Non-Original,rx,False,fall
8199,23943,special,6,418,1.0,Non-Original,pg_13,True,summer
8200,36858,movie,6,551,1.0,original,pg_13,True,fall
8201,2349,ova,5,3856,2.0,Non-Original,rx,False,spring
8202,1657,ova,4,5825,3.0,original,pg_13,True,summer
8203,36913,special,6,822,4.0,original,g,True,winter
8204,2983,ova,5,3630,1.0,Non-Original,r,True,winter
8205,36423,tv,6,358,52.0,original,pg,True,summer
8206,2741,tv,6,179,25.0,Non-Original,pg_13,True,summer
8207,37968,tv,6,179,55.0,original,pg,True,fall
8208,2690,ova,6,727,1.0,original,r,True,fall
8209,9718,ova,5,1118,2.0,Non-Original,rx,False,winter
8210,50501,ona,6,187,40.0,original,pg_13,True,fall
8211,32932,ona,6,743,3.0,Non-Original,g,True,winter
8212,20441,movie,6,234,1.0,Non-Original,g,True,summer
8213,4451,ova,6,702,2.0,Non-Original,r+,True,summer
8214,20961,movie,5,1221,1.0,original,pg,True,winter
8215,2525,ova,5,1930,4.0,Non-Original,r+,True,summer
8216,3336,ova,5,1125,1.0,Non-Original,pg_13,True,spring
8217,46650,movie,6,282,1.0,original,g,True,winter
8218,2771,tv,6,307,39.0,Non-Original,pg_13,True,spring
8219,7611,ova,5,1331,1.0,original,rx,False,winter
8220,43711,ona,6,476,1.0,original,g,True,fall
8221,31139,tv,4,4743,12.0,Non-Original,pg_13,True,fall
8222,2851,movie,6,645,1.0,Non-Original,g,True,summer
8223,48694,ona,6,204,12.0,Non-Original,pg_13,True,winter
8224,2892,tv,6,782,52.0,original,g,True,fall
8225,11867,ova,4,5303,1.0,Non-Original,pg_13,True,winter
8226,22099,tv,6,843,51.0,Non-Original,pg,True,spring
8227,858,tv,5,1158,24.0,Non-Original,pg_13,True,fall
8228,1623,tv,5,1401,13.0,original,r,True,summer
8229,8215,tv,6,203,51.0,original,r+,True,fall
8230,5890,ova,5,1843,3.0,original,rx,False,summer
8231,9170,special,5,2375,1.0,original,r+,True,spring
8232,48652,ova,5,1666,2.0,Non-Original,rx,False,spring
8233,38739,movie,6,557,1.0,Non-Original,pg,True,summer
8234,43751,ona,5,1496,1.0,original,g,True,fall
8235,30751,tv,6,741,13.0,original,pg_13,True,spring
8236,2260,ova,6,617,5.0,original,r+,True,spring
8237,39734,ona,6,631,2.0,original,g,True,spring
8238,29941,tv,4,4604,11.0,Non-Original,pg_13,True,summer
8239,36756,special,5,1769,7.0,original,pg_13,True,fall
8240,32888,movie,6,371,1.0,original,g,True,spring
8241,48889,ova,5,2573,1.0,Non-Original,rx,False,spring
8242,31402,ona,5,1618,5.0,Non-Original,pg_13,True,winter
8243,39936,tv,6,126,52.0,original,pg,True,summer
8244,2532,ova,5,1260,2.0,Non-Original,rx,False,summer
8245,7112,movie,6,441,1.0,Non-Original,g,True,spring
8246,8297,movie,5,1976,1.0,original,pg_13,True,spring
8247,4490,ova,6,612,1.0,Non-Original,rx,False,spring
8248,6331,ova,6,600,1.0,original,r+,True,summer
8249,4723,tv,6,238,32.0,Non-Original,r+,True,spring
8250,1455,ova,5,3210,2.0,Non-Original,r+,True,winter
8251,12237,ona,5,1537,12.0,Non-Original,r+,True,winter
8252,33396,ona,6,287,54.0,original,r,True,summer
8253,3099,tv,6,406,26.0,original,pg_13,True,spring
8254,4536,tv,6,349,50.0,original,g,True,winter
8255,2730,ova,4,4495,2.0,Non-Original,r+,True,winter
8256,49780,tv,5,1770,24.0,Non-Original,pg_13,True,winter
8257,2524,ova,5,2743,3.0,original,pg_13,True,winter
8258,10688,movie,6,688,1.0,original,pg_13,True,spring
8259,3452,ova,5,979,3.0,Non-Original,rx,False,fall
8260,36564,ona,5,2054,1.0,Non-Original,g,True,fall
8261,4908,tv,5,1387,12.0,original,pg_13,True,fall
8262,4444,tv,5,887,12.0,original,pg_13,True,spring
8263,4554,tv,6,247,26.0,Non-Original,pg_13,True,fall
8264,1767,ova,5,1764,1.0,Non-Original,r+,True,spring
8265,40755,ona,6,685,36.0,Non-Original,pg_13,True,spring
8266,2086,ova,6,275,3.0,original,pg_13,True,spring
