anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,themes,demographics,studios,producers
992,Dual! Parallel Lun-Lun Monogatari,tv,7,8126,finished_airing,13.0,original,16830,61,pg_13,True,1999.0,spring,"['Action', 'Comedy', 'Sci-Fi']","['Harem', 'Isekai', 'Mecha']",['Shounen'],['AIC'],['Pioneer LDC']
1663,Haha wo Tazunete Sanzenri,tv,7,3201,finished_airing,52.0,Non-Original,9609,45,g,True,1976.0,winter,"['Adventure', 'Drama', 'Slice of Life']",['Historical'],[],['Nippon Animation'],[]
487,Girls Bravo: Second Season,tv,6,46635,finished_airing,13.0,Non-Original,86273,121,r+,True,2005.0,winter,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'School']",['Shounen'],['AIC Spirits'],"['WOWOW', 'AIC', 'Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'Happinet Pictures', 'Studio Jack']"
1064,Mazinkaiser,ova,7,4028,finished_airing,7.0,Non-Original,9665,56,r+,True,2001.0,summer,"['Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],['Shounen'],"[""Brain's Base""]","['Bandai Visual', 'Bee Media', 'Dynamic Planning']"
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,ova,6,24885,finished_airing,2.0,Non-Original,45956,13,pg_13,True,1993.0,summer,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",[],['Shounen'],['Toei Animation'],[]
48775,Kaginado,tv,7,7156,finished_airing,12.0,original,25345,121,pg_13,True,2021.0,fall,"['Comedy', 'Slice of Life']",[],[],['LIDENFILMS Kyoto Studio'],"['Visual Arts', 'Tohokushinsha Film Corporation']"
2294,Mobile Suit Gundam SEED Destiny Special Edition,special,7,4675,finished_airing,4.0,original,10980,31,r,True,2006.0,spring,"['Action', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[],['Sunrise'],['Mainichi Broadcasting System']
32901,Eromanga-sensei,tv,6,390223,finished_airing,12.0,Non-Original,655258,2653,pg_13,True,2017.0,spring,"['Comedy', 'Drama', 'Ecchi', 'Romance']",[],[],['A-1 Pictures'],"['Aniplex', 'Movic', 'ASCII Media Works', 'BS11', 'Kinoshita Group Holdings']"
36266,Mahou Shoujo Site,tv,6,85908,finished_airing,12.0,Non-Original,208428,1109,r,True,2018.0,spring,"['Drama', 'Horror', 'Supernatural']","['Gore', 'Mahou Shoujo', 'Psychological']",[],['production doA'],['Sotsu']
25859,Re-Kan!,tv,6,23487,finished_airing,13.0,Non-Original,57597,61,pg_13,True,2015.0,spring,"['Comedy', 'Supernatural']",['School'],['Seinen'],['Pierrot Plus'],"['Pierrot', 'TBS', 'DAX Production', 'chara-ani.com', 'Houbunsha', 'Tokuma Japan', 'Docomo Anime Store', 'RAY']"
2269,Mobile Suit Gundam SEED Special Edition,special,7,4299,finished_airing,3.0,original,10120,15,r,True,2004.0,summer,"['Action', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[],['Sunrise'],"['Asatsu DK', 'Atelier Musa']"
609,Saishuu Heiki Kanojo: Another Love Song,ova,7,7968,finished_airing,2.0,Non-Original,17298,17,r+,True,2005.0,summer,"['Drama', 'Romance', 'Sci-Fi']",[],[],['Studio Fantasia'],"['CBC Television', 'Tohokushinsha Film Corporation']"
37164,Yao Shen Ji 2nd Season,ona,7,4082,finished_airing,40.0,Non-Original,7724,18,pg_13,True,2018.0,winter,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Martial Arts', 'Mythology']",[],['Ruo Hong Culture'],['Tencent Penguin Pictures']
24029,Shijou Saikyou no Deshi Kenichi Specials,special,7,4504,finished_airing,4.0,Non-Original,11724,19,r+,True,2013.0,fall,"['Action', 'Comedy']","['Martial Arts', 'School']",['Shounen'],"[""Brain's Base""]",[]
