anime_id,studios
9735,Sunrise
2472,Pierrot
35376,Doga Kobo
160,AIC
16005,Manglobe
40080,Colored Pencil Animation
35413,SILVER LINK.
30458,Pierrot
4981,Madhouse
32526,Sunrise
32551,Toei Animation
6774,Toei Animation
48707,J.C.Staff
40839,TMS Entertainment
13403,David Production
1117,OLM
36754,Gonzo
31433,Production I.G
37442,Production I.G
449,Sunrise
875,Studio 4°C
17641,AIC PLUS+
33094,A-1 Pictures
995,M.S.C
29067,Seven
31783,TMS Entertainment
32948,Zexcs
27601,Kyoto Animation
36903,Larx Entertainment
34262,Bridge
34855,Doga Kobo
24655,Production IMS
7720,A-1 Pictures
14833,Arms
24227,Shaft
32485,J.C.Staff
12729,TNK
8479,Studio Deen
1029,Studio Ghibli
25731,Sunrise
37086,MAPPA
6325,Pierrot
50461,ENGI
287,Group TAC
134,Madhouse
11743,J.C.Staff
10092,Production I.G
1505,TMS Entertainment
516,Sunrise
4382,Kyoto Animation
10033,Toei Animation
31389,ufotable
101,Kyoto Animation
30902,TYO Animations
2559,Nippon Animation
1253,Toei Animation
41084,Kinema Citrus
21899,Sunrise
32189,Lerche
40497,8bit
39026,Doga Kobo
5277,Seven Arcs
41094,Haoliners Animation League
8888,Sunrise
166,Gonzo
16528,Wit Studio
10719,AIC Build
19163,Production IMS
9065,Studio Deen
37597,CloverWorks
32215,TNK
2002,Xebec
14527,Gainax
4437,Pierrot
39355,Lerche
25687,Toei Animation
7588,Manglobe
6880,Manglobe
38787,Connect
7627,Bridge
1089,Artland
21667,SILVER LINK.
15487,Production I.G
48702,MAPPA
12815,Pierrot
27631,ufotable
1453,Studio Deen
1002,Gainax
35241,Lerche
1470,Sunrise
41169,Sunrise
488,Daume
15583,AIC PLUS+
5060,Studio Deen
4447,TMS Entertainment
19291,OLM
9890,SynergySP
22673,Production I.G
37621,Shin-Ei Animation
91,Sunrise
35198,Kyoto Animation
15437,Studio Deen
10209,Studio Deen
9136,A-1 Pictures
19671,Kyoto Animation
379,J.C.Staff
