anime_id,genres,type,episodes,source,rating,start_year,start_season,demographics,score,scored_by,members,favorites
6882,Comedy,special,6,Non-Original,pg_13,2009,summer,Shounen,Average,8586,16563,8
44068,Action,ona,13,Non-Original,pg_13,2021,spring,None,High,1039,2974,31
23325,Action,tv,24,original,r,2014,summer,None,Average,17920,42615,41
30919,Comedy,special,1,original,pg_13,2015,summer,None,Average,4303,9574,11
1587,Supernatural,tv,25,original,r,2006,fall,None,Average,4403,16006,25
33033,Slice of Life,ova,2,original,pg_13,2016,summer,None,High,2329,6922,16
17777,Comedy,tv,12,Non-Original,r+,2014,winter,Shounen,Average,73576,158598,179
5464,Hentai,ova,2,Non-Original,rx,2008,fall,None,Average,6609,16736,66
21167,Fantasy,tv,12,Non-Original,pg_13,2014,spring,None,Average,23087,58695,68
40044,Adventure,movie,1,Non-Original,pg,2020,summer,Kids,High,1319,3162,7
8363,Action,movie,1,Non-Original,g,2003,spring,Seinen,High,2316,4186,8
937,Action,ova,1,Non-Original,pg_13,1988,spring,None,Average,12914,27942,33
1127,Comedy,tv,12,Non-Original,r+,2002,summer,None,Average,7005,18901,40
3326,Avant Garde,movie,1,Non-Original,pg_13,2007,fall,None,Average,8381,19971,60
27825,Action,movie,1,Non-Original,pg_13,2014,summer,None,High,2158,4732,25
50768,Supernatural,special,1,Non-Original,r,2022,winter,Shounen,Average,5550,15932,82
590,Comedy,tv,12,Non-Original,pg_13,2006,winter,Shounen,Average,11357,25073,25
21677,Action,tv,25,original,pg_13,2014,spring,None,Average,25976,64541,82
33490,Adventure,tv,13,Non-Original,pg,2016,fall,Kids,High,1635,3968,23
447,Action,tv,25,original,pg_13,1998,spring,Shounen,Average,7136,17856,137
4703,Fantasy,movie,1,original,g,2008,fall,Kids,High,1969,4835,4
31789,Hentai,ova,1,Non-Original,rx,2016,spring,None,Average,6214,14770,29
3256,Sci-Fi,ova,12,original,r,2007,fall,None,High,1933,4758,9
2929,Adventure,tv,14,Non-Original,r+,2007,fall,None,High,1669,4641,10
36833,Slice of Life,special,1,Non-Original,pg_13,2018,winter,None,Average,6639,19753,7
12221,Fantasy,movie,1,original,g,2012,winter,Shoujo,High,2285,5179,7
273,Drama,tv,12,Non-Original,pg_13,2003,winter,Shounen,Average,6892,25026,32
41556,Comedy,tv,12,Non-Original,pg_13,2021,winter,Shounen,High,3277,14784,56
2751,Drama,special,1,Non-Original,g,2007,summer,None,Average,3970,11965,16
8909,Comedy,special,4,Non-Original,g,2010,winter,None,High,2835,7448,6
20533,Adventure,tv,12,Non-Original,pg_13,2014,winter,None,Average,16513,38890,50
19367,Action,tv,11,original,r,2013,fall,None,Average,23157,51806,46
34447,Ecchi,special,6,Non-Original,r+,2016,summer,None,Average,13126,32824,55
5957,Comedy,ona,13,Non-Original,g,2009,winter,None,Average,16372,28954,41
1067,Action,tv,12,Non-Original,r,2006,spring,None,Average,13044,35157,38
2110,Action,tv,25,Non-Original,pg,2005,fall,Shounen,High,2935,7588,15
7017,Comedy,special,7,original,g,2009,summer,None,Average,31886,59017,69
6169,Action,movie,1,original,pg_13,2009,spring,None,High,2524,7768,9
34834,Action,tv,12,Non-Original,pg_13,2017,summer,None,Average,8806,26871,66
