anime_id,score,scored_by,members,favorites
6811,High,130678,256896,2013
35120,High,600695,980175,20802
801,High,98592,212372,2970
36838,High,89057,180955,1086
21855,High,222244,395638,1048
5205,High,104268,192118,2213
72,High,167425,279141,2850
37055,High,121894,232686,922
38993,High,156246,286760,2282
27831,High,189571,366961,740
31339,High,247455,505693,3590
12115,High,125685,197845,1417
31658,High,152438,255594,920
40911,High,135746,330212,5255
35073,High,544537,871484,3993
4565,High,92004,196181,889
5040,High,106541,216618,3732
36563,High,246504,460388,3197
27989,High,173785,412886,6516
31173,High,180071,322549,1632
9513,High,261736,549736,5065
790,High,218723,580409,12096
4155,High,137520,218227,415
28735,High,87641,267766,5507
1559,High,148231,279685,3364
23755,High,1221064,1855493,18890
4059,High,193614,289751,824
36999,High,92715,200150,888
10080,High,227975,366224,963
35843,High,89110,176262,845
37491,High,81032,167107,973
17895,High,491542,918188,11922
31988,High,105539,204177,3168
14741,High,714083,1229815,16755
28675,High,123144,236970,1005
18153,High,511194,1063454,11371
32998,High,290696,631113,7076
4901,High,149700,261566,1118
11887,High,393883,771378,7679
50631,High,121206,317802,3079
18397,High,241359,411604,858
21557,High,140302,257283,2266
4722,High,132688,250180,4950
16870,High,353605,525794,1904
11979,High,93502,186888,1004
7472,High,85648,147462,567
33489,High,284541,579412,6882
35608,High,124609,233924,1453
39792,High,122073,295758,3520
39198,High,129346,264915,2838
39534,High,242576,495684,10340
40956,High,323638,622272,2448
38249,High,111920,185810,343
31741,High,239127,438025,1462
35838,High,111495,294452,5740
32380,High,233159,358553,595
16001,High,161496,245492,829
38671,High,602936,1112612,7885
7711,High,190711,302278,971
44074,High,73882,222133,7288
17549,High,161011,389924,5835
16918,High,122680,269457,2683
33161,High,129754,218199,403
16664,High,102398,197548,2157
3783,High,129532,211869,635
186,High,113067,181590,863
820,High,70900,283535,14777
10271,High,95811,174378,2473
30123,High,297008,598984,6736
40542,High,117021,188670,404
2581,High,114400,205121,4288
21647,High,158089,339563,2040
32902,High,113200,255788,672
2246,High,80258,282211,7045
4898,High,564628,1077524,21344
33926,High,162220,337191,3691
39940,High,310238,535425,1286
486,High,87774,277909,6247
1818,High,304636,620367,7893
66,High,138362,302151,5478
32093,High,191553,414616,3999
38101,High,518254,795128,12286
11977,High,94022,184199,884
48580,High,157915,399083,5667
28907,High,411450,723399,5728
38474,High,73478,183753,2604
1887,High,302518,604485,11242
39468,High,126744,242455,2219
40421,High,101374,192406,1412
38889,High,75909,141743,1490
37989,High,89889,164388,831
3901,High,107007,169555,293
5630,High,244157,529582,4090
38234,High,87824,140969,588
73,High,142392,247543,1240
31637,High,308773,499306,1748
40935,High,183169,373775,2088
552,High,241208,373060,4910
18689,High,105291,221882,4240
416,High,135568,214327,1703
3702,High,103046,197300,3138
40716,High,123641,290698,1948
8129,High,102448,215511,4211
1530,High,130830,256073,4274
22043,High,506913,893946,11430
19363,High,84195,135837,630
23623,High,92182,183819,1277
41402,High,108874,230763,2109
23317,High,110922,223098,1051
40815,High,97626,164855,729
7338,High,135945,243152,805
35222,High,145271,285109,2715
6211,High,117570,277649,1702
12477,High,123626,263751,1325
34577,High,633817,1011067,3759
24,High,142715,309142,5012
29095,High,206447,376114,2027
23327,High,81523,152999,1718
32983,High,66951,165572,752
43325,High,82106,191986,2507
12445,High,170913,369462,4293
21995,High,444697,819024,9329
30709,High,72431,147725,901
25879,High,119994,229876,908
7724,High,241064,548096,7679
31251,High,107001,207683,2767
34451,High,175808,388454,1527
18,High,88953,155993,1155
35860,High,262134,521995,4777
20057,High,139859,321054,4935
35848,High,118491,242905,3020
31812,High,78219,173043,1288
5682,High,119640,312029,4330
9863,High,79812,211118,3105
43299,High,285858,641755,8363
861,High,113533,292206,4163
46352,High,149150,355606,4683
30240,High,537135,900653,6640
14349,High,167202,295260,1284
6702,High,941324,1597746,44051
36885,High,66259,154006,2199
14353,High,128755,222921,320
34944,High,124809,222627,1505
28725,High,144192,298108,1810
8525,High,315160,584106,5544
9289,High,122077,310095,2484
33095,High,59665,171226,2970
37208,High,65171,196179,5763
37435,High,129257,295751,2746
34437,High,121191,280969,1847
31859,High,344229,658140,5611
39196,High,201833,374428,3185
154,High,184755,341539,3601
6351,High,160727,249350,561
49114,High,75956,191903,2111
38481,High,78696,200974,3101
138,High,78481,141354,273
34591,High,60387,166313,993
18897,High,609596,1068768,10466
30727,High,167482,325897,1596
264,High,71769,117473,188
28927,High,423617,704315,2772
3927,High,88343,140398,1316
139,High,72228,132066,230
21329,High,61086,126057,168
329,High,71269,228319,3689
1689,High,515751,855129,10311
10521,High,144119,248666,442
1033,High,72402,158991,2231
37786,High,120084,290007,5373
40262,High,147584,253581,537
36028,High,132350,313174,3284
120,High,267470,504366,8852
15039,High,131260,272568,593
30230,High,69022,124071,1000
6213,High,267362,559193,5576
30885,High,128283,239747,358
38084,High,112547,239539,2285
6033,High,215486,344324,2819
18179,High,107487,213915,2222
40046,High,132420,308915,2452
28121,High,861878,1366664,10942
40059,High,61346,129731,1234
18195,High,73083,154967,2024
4107,High,75438,150376,366
12113,High,123103,188360,621
10721,High,102534,280683,7030
12413,High,139920,321374,2777
8516,High,214359,351857,1176
29093,High,127910,211994,654
33051,High,69485,123212,1431
32729,High,356230,735642,6305
2605,High,121942,323100,4522
34542,High,278861,569386,3413
15227,High,69270,165988,1351
20767,High,174836,304581,381
24439,High,354074,783944,7093
39486,High,51437,107464,3628
36106,High,136005,270123,518
8795,High,177139,349584,5110
3782,High,137918,223254,434
5690,High,66496,121818,402
49721,High,56658,139311,2063
4280,High,121493,199810,294
31490,High,104844,174101,306
36474,High,540592,911801,6694
1827,High,72783,202703,2594
4477,High,72003,117931,275
36896,High,404729,653787,1320
387,High,92183,252657,6733
40729,High,67114,172673,1784
19111,High,140260,240484,2734
137,High,61680,116986,371
39597,High,385420,645216,3330
22961,High,101572,166140,1002
2924,High,103838,242203,2716
202,High,126095,306572,5453
239,High,69534,228580,3643
530,High,172559,343563,9175
846,High,87151,150987,741
40221,High,462416,784706,5709
31765,High,408783,654767,3373
28677,High,405713,708021,3841
38080,High,98398,245701,1954
34902,High,356066,647854,2506
13331,High,96452,174530,687
31704,High,171696,295737,334
597,High,150476,238043,1254
21405,High,183150,357398,2102
37379,High,52583,121367,1323
16,High,79255,248394,4060
43523,High,155027,290086,3103
6956,High,196140,407313,2434
13667,High,185814,305448,496
9919,High,1066354,1755249,16132
20159,High,145368,213286,623
3091,High,62264,132004,561
3785,High,227882,385223,1721
372,High,62779,107399,423
1430,High,66484,104464,1147
40397,High,80742,175139,1903
24277,High,72348,126899,480
23321,High,318353,567088,1386
31772,High,162215,286100,354
33502,High,171913,354573,4052
3167,High,74671,172065,1197
317,High,139910,204591,1071
22265,High,214562,385533,2529
21877,High,119662,228504,2507
71,High,229917,461140,4200
187,High,94667,150808,562
18671,High,409019,673988,2426
32542,High,353823,692606,2407
12431,High,49160,177279,3688
38349,High,83999,169535,428
265,High,58194,93932,149
5530,High,167332,406188,5040
39575,High,104721,257284,1471
226,High,818976,1393885,22702
10049,High,79458,152806,617
11111,High,909274,1513399,16164
37141,High,287023,587167,2138
15,High,83548,169950,1920
28957,High,45542,116163,196
10012,High,89202,182268,1521
17389,High,50848,105547,776
24765,High,200410,409632,5023
28249,High,157493,349195,1624
6421,High,70410,146932,172
30370,High,63743,121112,346
22199,High,1181522,1866369,26479
10218,High,132876,203480,872
8408,High,90696,161390,153
15059,High,65336,123694,641
6007,High,86016,157001,286
12403,High,96077,171918,914
2952,High,79191,125664,742
26243,High,652970,1185153,12544
440,High,56597,191898,7208
31764,High,148369,292542,1314
5941,High,47672,115636,2910
40174,High,68188,181558,1339
543,High,81923,159988,1746
2104,High,137497,306944,2869
10029,High,101172,172167,989
721,High,60420,152703,4492
6347,High,329797,597090,5486
21843,High,171115,380930,1615
9941,High,85779,212547,2865
11123,High,85532,147298,704
34134,High,860300,1443287,5742
210,High,112210,231152,3722
49909,High,48951,86391,1364
14227,High,553668,971364,5707
6862,High,90966,147973,248
15451,High,550374,834919,4376
323,High,142639,365277,4825
39570,High,68923,119181,758
322,High,87602,196652,3675
21339,High,125764,248194,511
34914,High,121933,238184,866
24687,High,44843,91547,113
528,High,163905,240660,369
31715,High,55056,96059,206
36038,High,222375,415503,2154
1142,High,51742,100712,944
35363,High,114634,192819,253
41433,High,166443,353419,3065
44931,High,55440,108963,675
8675,High,209254,455873,3146
37078,High,49391,95875,345
4789,High,65179,157753,1677
135,High,59466,127349,2244
150,High,152749,354199,4180
22,High,79000,168365,2937
31953,High,190462,398929,2743
44055,High,48060,128616,3311
38790,High,240079,426593,3023
18617,High,51320,95090,1251
8937,High,235124,427845,1704
1571,High,96001,216628,2897
4106,High,68494,126896,229
10620,High,1126341,1849979,29338
2593,High,172080,391169,2217
24997,High,68834,121259,1178
10161,High,192218,402100,7046
18661,High,60217,115498,364
627,High,47872,93583,1331
20847,High,116554,235327,550
4814,High,101860,169865,958
33988,High,200962,383388,1437
35972,High,215086,442380,4703
30296,High,501249,840587,8139
33253,High,158054,272022,500
270,High,340542,654510,5545
38659,High,306663,520852,1892
31174,High,63017,161137,3448
19489,High,91386,160892,314
2685,High,43467,90115,819
12031,High,62808,183997,1425
532,High,71855,133649,1315
1254,High,94271,171379,3668
17729,High,290862,558354,4207
42351,High,117918,256125,1597
40730,High,40489,98695,3679
18753,High,151502,244937,466
38450,High,39207,86711,1038
32366,High,39984,75995,127
1365,High,42572,70375,219
468,High,81865,149148,916
9926,High,112528,204392,3002
2787,High,165979,294761,984
93,High,89481,156484,3354
22147,High,326636,598836,2482
21659,High,107132,187564,270
40615,High,64331,133176,2278
47194,High,38820,233002,2148
22101,High,130915,281274,1848
13535,High,105950,217370,1161
5231,High,116419,186933,3505
10793,High,598989,1128518,16611
23277,High,285761,591327,4029
5028,High,38776,66041,602
31051,High,49425,93320,180
34561,High,176322,439801,3146
16904,High,116643,238886,600
20785,High,536360,957202,10603
1594,High,64528,151643,678
5678,High,58653,156623,1428
3572,High,64478,139389,1823
32268,High,122396,225499,348
35677,High,44307,116417,2133
9062,High,152571,258515,306
228,High,125992,330802,2969
430,High,196559,311229,590
10495,High,143808,317450,4361
30279,High,61053,115089,674
4472,High,74052,125796,196
37349,High,577996,958680,6307
34537,High,43551,107370,1479
8142,High,79034,179187,1160
31098,High,61696,122662,297
24703,High,468258,728453,3773
7465,High,53854,118227,584
39808,High,37566,104387,849
558,High,42555,66908,300
20031,High,187448,363687,2235
27991,High,146535,307154,1157
11737,High,133307,251778,373
37976,High,213260,438362,2881
15315,High,291991,540091,3608
7647,High,145203,331321,2258
5781,High,77979,183307,1745
14467,High,359473,707801,6477
6171,High,55096,99076,852
12893,High,69038,125985,176
10790,High,207976,359419,716
5365,High,50672,89646,460
27663,High,51671,85644,296
1842,High,40660,64447,350
21185,High,70473,138625,816
874,High,115633,183445,1718
30694,High,469620,726282,9080
6336,High,45623,90009,1468
40540,High,293791,509772,2952
1566,High,44895,93862,233
41120,High,166999,366487,2642
9734,High,65651,115346,207
19775,High,104932,216188,1400
38145,High,80630,171662,1126
41587,High,432810,932614,9820
36904,High,103122,157854,1118
22777,High,96380,165499,666
24405,High,129440,368770,2477
40571,High,151109,330034,3075
50612,High,34897,111015,454
355,High,248216,508888,4906
267,High,65480,174529,2249
48849,High,79882,235781,4137
3228,High,56720,124774,487
12029,High,35790,105896,1636
97,High,68220,163333,1760
40010,High,256421,420170,8788
9074,High,81587,154657,409
7592,High,112100,252466,1281
14807,High,48242,105363,259
1562,High,78297,150553,2203
3470,High,177137,343648,2634
481,High,230369,359033,4168
37515,High,34890,100038,144
38731,High,37757,76912,837
36286,High,132980,260153,580
2994,High,84802,186723,564
14289,High,330818,598451,4563
40907,High,44118,121126,703
90,High,84549,148943,2261
18245,High,103341,228078,3121
43439,High,71919,184414,1380
570,High,68259,153394,1597
38555,High,204334,376734,2559
8247,High,110506,189883,353
3701,High,40501,136540,3315
996,High,52174,102940,1115
60,High,100631,214479,1896
7655,High,34339,58264,459
37956,High,87603,162487,1119
400,High,59627,142679,2000
857,High,172803,331165,3454
38414,High,109803,217372,472
731,High,40355,67252,863
3226,High,38191,60976,193
40454,High,244406,486549,1714
21327,High,138793,291975,1174
1840,High,292477,470849,1242
740,High,79442,143645,762
33731,High,217819,417895,2978
1281,High,74921,172884,1625
9130,High,41472,69409,301
41488,High,113986,271968,1891
32370,High,75286,177617,1002
11319,High,226841,387958,1152
18119,High,89834,202767,650
114,High,50936,128101,1534
20651,High,32977,73582,100
3092,High,137310,238434,4347
36470,High,115540,259903,1208
37985,High,67299,100270,239
8086,High,130362,278142,1931
10119,High,64415,120693,108
4087,High,56578,181313,2217
31592,High,78081,120694,899
28755,High,273173,420221,880
153,High,42200,133384,2293
15117,High,77429,128961,105
2164,High,40981,136495,1573
16011,High,207269,449637,1940
25517,High,52901,113718,1021
6573,High,220822,389878,1447
11617,High,822551,1284489,20926
27633,High,69230,127824,105
401,High,44022,78901,351
14131,High,135581,272095,4859
25015,High,68635,150365,237
23281,High,323919,600935,1381
22097,High,57064,121675,229
32828,High,127659,286351,1098
35240,High,71552,187973,2284
8407,High,160444,274187,883
6945,High,31513,63807,83
122,High,45430,101971,1715
31580,High,273442,540854,2952
40496,High,375639,624240,5056
50360,High,42761,96028,408
3297,High,29271,116568,3904
4725,High,92500,226355,2826
33071,High,76138,144814,297
25161,High,48922,80168,97
31798,High,329846,672001,4686
8740,High,43215,76408,46
17909,High,51206,155978,1428
985,High,63324,97760,151
42429,High,37154,101430,667
25303,High,66205,121050,188
16524,High,167428,315645,1187
38422,High,41491,66048,143
81,High,40604,73646,963
48483,High,167284,380086,2944
37984,High,179086,343567,3457
59,High,241895,451257,3597
16916,High,52761,96036,79
13663,High,187066,341014,2063
29854,High,94278,210485,639
22729,High,269820,483342,3391
15323,High,34822,62296,82
29787,High,54690,119445,837
949,High,47815,112417,2503
4654,High,362604,748342,5287
25183,High,257711,524845,3373
1364,High,34674,57604,47
24893,High,60472,112141,346
27787,High,393108,634093,1757
42361,High,345654,656721,8226
2154,High,41215,101408,1336
43609,High,98387,185118,464
12291,High,138365,296254,2503
10357,High,58476,177945,1900
4835,High,127244,213120,461
967,High,40843,118957,2090
44087,High,27662,57876,210
33506,High,370674,683469,1495
36990,High,30847,68069,193
40682,High,25523,73163,1472
527,High,368518,573059,4710
33191,High,78291,124783,371
15051,High,212406,418577,7816
37033,High,51483,115300,651
37514,High,33251,97059,154
37497,High,115918,294910,1969
44940,High,29531,84541,896
40620,High,64189,170851,1764
42916,High,37627,176411,1905
6372,High,94118,161293,129
18139,High,99151,210064,588
26213,High,43160,88102,191
781,High,36572,59955,67
534,High,58925,131315,1886
451,High,50412,93820,193
11013,High,223219,471149,3108
2963,High,68343,163424,1041
37475,High,154536,318260,1735
658,High,40901,94109,1150
10588,High,121744,247580,2163
16934,High,121385,208239,165
11433,High,170597,358771,1999
6773,High,112547,225495,1109
5460,High,30724,54073,68
34100,High,39680,84759,355
8841,High,327985,589714,3068
47257,High,70170,184459,1429
11739,High,39869,82998,366
40215,High,47429,73285,217
4672,High,37920,84081,229
18507,High,410238,737973,9243
10067,High,138623,232099,229
11113,High,38995,66599,36
535,High,35697,65751,798
32979,High,67641,177068,2053
7193,High,60898,204004,1531
80,High,52498,116757,1931
6864,High,30284,64530,176
905,High,87573,135306,122
1686,High,159318,254046,555
26,High,51820,222104,4385
240,High,68072,167386,1353
6637,High,77729,138175,111
182,High,62314,142749,1983
38472,High,195343,349625,988
145,High,74714,206294,2366
47790,High,211749,386545,3607
36704,High,73438,162727,600
33337,High,63613,148783,1327
41461,High,44499,185388,2982
28,High,39256,91444,863
3731,High,138089,263639,2840
1363,High,34102,56510,89
35079,High,73602,181662,911
34984,High,108246,264527,1376
21469,High,32374,45982,187
37932,High,36118,103104,534
37972,High,73690,175220,2018
42625,High,62525,155488,1407
31,High,131077,234167,616
338,High,26333,85277,2623
2026,High,93761,213472,1557
1699,High,71493,173657,1141
177,High,93061,215159,1982
48553,High,49796,136954,979
1257,High,32695,52433,347
2159,High,38790,94453,1673
31376,High,99618,245526,1250
33028,High,160781,290555,2201
38594,High,69951,173659,1089
