,anime_id,keywords
150,18679,"['Action', 'Comedy', 'Ecchi', 'School', 'Super Power']"
151,23283,"['Mystery', 'Suspense', 'Psychological']"
152,11771,"['Sports', 'School', 'Team Sports']"
153,31181,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
154,6,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Adult Cast']"
155,12189,"['Mystery', 'Slice of Life', 'School']"
156,5341,"['Adventure', 'Fantasy', 'Romance', 'Adult Cast', 'Historical']"
157,35247,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
158,42249,"['Action', 'Drama', 'Supernatural', 'Delinquents', 'School', 'Time Travel']"
159,11597,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']"
160,2236,"['Drama', 'Romance', 'Sci-Fi', 'School', 'Time Travel']"
161,38680,"['Drama', 'Fantasy', 'Romance', 'Love Polygon']"
162,10162,"['Slice of Life', 'Childcare', 'Iyashikei']"
163,512,"['Adventure', 'Comedy', 'Drama', 'Fantasy']"
164,13125,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural', 'Psychological']"
165,35839,"['Adventure', 'Comedy', 'Drama']"
166,11981,"['Drama', 'Mystery', 'Suspense', 'Mahou Shoujo', 'Psychological']"
167,10863,"['Comedy', 'Sci-Fi', 'Time Travel']"
168,33049,"['Action', 'Fantasy', 'Supernatural']"
169,20,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
170,513,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
171,7791,"['Comedy', 'CGDCT', 'Music', 'School']"
172,41457,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military']"
173,35790,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']"
174,14813,"['Comedy', 'Romance', 'Love Polygon', 'School']"
175,12365,"['Comedy', 'Drama', 'Romance', 'Otaku Culture']"
176,40052,"['Action', 'Adventure', 'Mystery']"
177,39247,"['Fantasy', 'Slice of Life']"
178,48569,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military']"
179,46095,"['Action', 'Sci-Fi', 'Suspense', 'Music', 'Time Travel']"
180,7054,"['Comedy', 'Romance', 'School']"
