,anime_id,producers
141,31646,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
142,3784,"['Gainax', 'KlockWorx']"
143,35180,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
144,9260,"['Aniplex', 'Kodansha']"
145,40417,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
146,42938,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
147,877,"['VAP', 'Nippon Television Network', 'Shueisha']"
148,39533,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shinshokan']"
149,43,"['Bandai Visual', 'Kodansha']"
150,18679,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Movic', 'Ultra Super Pictures', 'Lucent Pictures Entertainment']"
151,23283,"['Aniplex', 'Dentsu', 'Fuji TV', 'Tohokushinsha Film Corporation', 'Kyoraku Industrial Holdings']"
152,11771,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11']"
153,31181,['Aniplex']
154,6,['Victor Entertainment']
155,12189,"['Lantis', 'Kadokawa Shoten', 'KlockWorx', 'chara-ani.com', 'Animation Do']"
156,5341,"['Imagin', 'flying DOG']"
157,35247,"['Aniplex', 'Kodansha']"
158,42249,"['Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'AT-X', 'Ultra Super Pictures', 'Studio Mausu', 'Sammy']"
159,11597,"['Aniplex', 'Kodansha', 'Rakuonsha']"
160,2236,"['Kadokawa Shoten', 'Bandai', 'Memory-Tech', 'Happinet Pictures']"
161,38680,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
162,10162,"['Dentsu', 'Fuji TV', 'Toho', 'Tohokushinsha Film Corporation', 'Sony Music Entertainment', 'Sakura Create', 'Fujipacific Music', 'Shodensha']"
163,512,['Streamline Pictures']
164,13125,"['Aniplex', 'TV Asahi', 'Pony Canyon']"
165,35839,"['Media Factory', 'Movic', 'AT-X', 'Sony Music Communications', 'Docomo Anime Store', 'Kadokawa Media House', 'Kadokawa', 'NewGin', 'Crunchyroll SC Anime Fund']"
166,11981,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Nitroplus', 'Houbunsha']"
167,10863,['Frontier Works']
168,33049,"['Aniplex', 'Notes', 'Kadokawa']"
169,20,"['TV Tokyo', 'Aniplex', 'Shueisha']"
170,513,"['Tokuma Shoten', 'Streamline Pictures']"
171,7791,"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']"
172,41457,"['Aniplex', 'Kadokawa', 'Bandai Spirits']"
173,35790,"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa', 'Crunchyroll SC Anime Fund']"
174,14813,"['Geneon Universal Entertainment', 'TBS', 'Delfi Sound', 'Marvelous AQL', 'Atelier Musa']"
175,12365,"['NHK', 'Shueisha']"
176,40052,"['Production I.G', 'Fuji TV', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners']"
177,39247,"['Lantis', 'Heart Company']"
178,48569,"['Aniplex', 'Kadokawa', 'Bandai Spirits']"
179,46095,['Aniplex']
180,7054,"['Geneon Universal Entertainment', 'TBS', 'Hakusensha', 'Half H.P Studio']"
181,39741,['Shochiku']
182,36862,['IRMA LA DOUCE']
183,572,[]
184,2167,"['Pony Canyon', 'TBS', 'Movic', 'Animation Do']"
