,anime_id,score,scored_by,episodes,sfw,type_movie,type_ona,type_ova,type_special,type_tv,source_Non-Original,source_original,rating_g,rating_pg,rating_pg_13,rating_r,rating_r+,rating_rx,start_season_fall,start_season_spring,start_season_summer,start_season_winter
105,39547,8,332259,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
106,16894,8,488984,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
107,392,8,296314,112.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
108,22297,8,609722,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
109,19815,8,1412822,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
110,813,8,770597,291.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
111,9969,9,210584,51.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
112,4224,8,1258209,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
113,22789,8,313476,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
114,853,8,622243,26.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
115,31757,8,240304,1.0,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
116,121,8,836664,51.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
117,37430,8,731368,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
118,24833,8,1048111,22.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
119,18115,8,422988,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
120,36456,8,1275636,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
121,33674,8,423040,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
122,34572,8,694772,170.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
123,25781,8,271659,2.0,True,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
124,40834,8,220757,23.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
125,11843,8,378482,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
126,41487,8,314608,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
127,6547,8,1196177,13.0,True,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
128,41025,8,281660,20.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
129,6746,8,627194,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
130,40852,8,461417,11.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
131,32867,8,414572,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
132,20899,8,740326,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
133,37987,8,186938,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
134,32282,8,663653,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
135,1210,8,303004,24.0,True,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
136,13759,8,656384,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
137,136,8,259093,62.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
138,49926,8,264094,7.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
139,2966,8,364426,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
140,47,8,447365,1.0,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
141,31646,8,255006,22.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
142,3784,8,291210,1.0,True,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
143,35180,8,178863,22.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
