,anime_id,licensors
389,32902,['Crunchyroll']
390,2246,['Flatiron Film Company']
391,4898,"['Funimation', 'Aniplex of America']"
392,33926,[]
393,39940,['Sentai Filmworks']
394,486,"['ADV Films', 'Sentai Filmworks']"
395,1818,['Funimation']
396,66,"['ADV Films', 'Sentai Filmworks']"
397,32093,['Sentai Filmworks']
398,38101,['Funimation']
399,11977,['Aniplex of America']
400,48580,['Funimation']
401,28907,['Sentai Filmworks']
402,38474,[]
403,1887,"['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']"
404,39468,['Crunchyroll']
405,40421,[]
406,38889,['Funimation']
407,37989,['Funimation']
408,3901,"['Funimation', 'Aniplex of America']"
409,5630,['Funimation']
410,38234,['Funimation']
411,73,"['ADV Films', 'Funimation', 'Kadokawa Pictures USA']"
412,31637,['Sentai Filmworks']
413,40935,[]
414,552,"['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']"
415,18689,[]
416,416,"['Disney Platform Distribution', 'GKIDS']"
417,3702,['Sentai Filmworks']
418,40716,['Funimation']
419,8129,['Funimation']
420,1530,"['ADV Films', 'Funimation']"
421,22043,['Funimation']
422,19363,['Aniplex of America']
423,23623,['Sentai Filmworks']
424,41402,[]
425,23317,['Funimation']
426,40815,['Crunchyroll']
427,50380,['Sentai Filmworks']
428,7338,['Funimation']
429,35222,[]
430,6211,['Maiden Japan']
431,12477,"['NYAV Post', 'GKIDS']"
432,34577,[]
433,24,['Funimation']
434,29095,['Sentai Filmworks']
435,23327,['Funimation']
436,32983,[]
437,43325,['Funimation']
438,12445,['Sentai Filmworks']
439,21995,['Sentai Filmworks']
440,30709,[]
441,25879,['Aniplex of America']
442,7724,['Funimation']
443,31251,['Funimation']
444,34451,['Funimation']
445,18,['Funimation']
446,35860,['Funimation']
447,20057,['Funimation']
448,35848,['GKIDS']
449,31812,['Funimation']
450,5682,['Funimation']
451,9863,[]
452,43299,['Funimation']
453,861,['Funimation']
454,46352,[]
455,30240,['Funimation']
456,14349,[]
457,6702,['Funimation']
458,36885,[]
459,14353,['Funimation']
460,34944,['Crunchyroll']
461,28725,['Aniplex of America']
462,8525,['Sentai Filmworks']
463,9289,"['NIS America, Inc.']"
464,33095,[]
465,37435,[]
466,34437,['Funimation']
467,31859,['Funimation']
468,39196,[]
469,154,"['4Kids Entertainment', 'Discotek Media']"
470,6351,['Sentai Filmworks']
471,49114,[]
472,38481,['Funimation']
473,138,[]
